Course Title,Description,Category,Skill Level,Duration,Free Time Hours,Education,Gender,State,Age,Hobby,Course Link,Rating,Hours Spent,Reviews
Kubernetes Basics - 1,Master data analysis and visualization techniques.,AI & ML,Intermediate,4 weeks,4,Postgraduate,Female,Delhi,29,Reading Tech Blogs,https://www.udemy.com/course/kubernetes-basics/,3.442897883359427,8,The pace of the course was too slow.
Docker for Developers - 2,Learn the basics of programming and debugging.,Data Science,Beginner,4 weeks,9,10th,Female,Rajasthan,17,Watching Tutorials,https://www.udemy.com/course/docker-for-developers/,4.418341530629868,8,Too basic and not enough depth.
Ethical Hacking Workshop - 3,Master data analysis and visualization techniques.,Data Science,Intermediate,6 weeks,4,12th,Female,Maharashtra,26,Problem Solving,https://www.coursera.org/specializations/ethical-hacking/,4.431983132184891,12,The content was outdated and not useful.
Kubernetes Basics - 4,Learn the basics of programming and debugging.,Cybersecurity,Advanced,6 weeks,1,10th,Female,Maharashtra,20,Coding,https://www.udemy.com/course/kubernetes-basics/,2.004661887408058,12,Disappointed with the lack of practical examples.
Docker for Developers - 5,Master data analysis and visualization techniques.,AI & ML,Intermediate,2 weeks,2,Postgraduate,Female,Maharashtra,20,Problem Solving,https://www.udemy.com/course/docker-for-developers/,3.052225724216456,6,Disappointed with the lack of practical examples.
SQL for Data Analysis - 6,Learn the basics of programming and debugging.,Web Development,Advanced,4 weeks,9,Postgraduate,Male,Gujarat,23,Reading Tech Blogs,https://www.coursera.org/learn/sql-for-data-science/,1.4227931702035965,8,Poor quality videos and unclear explanations.
Introduction to Data Science - 7,Master data analysis and visualization techniques.,Web Development,Intermediate,6 weeks,4,12th,Male,Maharashtra,17,Networking,https://www.coursera.org/learn/intro-to-data-science/,3.3903838709672356,18,The exercises were not challenging enough.
Docker for Developers - 8,Learn the basics of programming and debugging.,Programming,Intermediate,6 weeks,1,Undergraduate,Male,Gujarat,25,Open Source Contributions,https://www.udemy.com/course/docker-for-developers/,1.030334484336708,24,Poor quality videos and unclear explanations.
Kubernetes Basics - 9,Master data analysis and visualization techniques.,Web Development,Advanced,6 weeks,3,Postgraduate,Male,Maharashtra,21,Problem Solving,https://www.udemy.com/course/kubernetes-basics/,3.733487031182266,24,The course lacked advanced content as promised.
SQL for Data Analysis - 10,Learn the basics of programming and debugging.,Programming,Advanced,2 weeks,9,Postgraduate,Male,Maharashtra,28,Building Projects,https://www.coursera.org/learn/sql-for-data-science/,2.416480098224146,6,The course lacked advanced content as promised.
Ethical Hacking Workshop - 11,Master data analysis and visualization techniques.,Programming,Intermediate,4 weeks,1,12th,Male,Rajasthan,30,Problem Solving,https://www.coursera.org/specializations/ethical-hacking/,3.2394564440575633,12,Disappointed with the lack of practical examples.
SQL for Data Analysis - 12,Learn the basics of programming and debugging.,AI & ML,Advanced,2 weeks,9,Undergraduate,Female,Uttar Pradesh,27,Networking,https://www.coursera.org/learn/sql-for-data-science/,1.7355325928186036,6,The course was not well-organized.
Ethical Hacking Workshop - 13,Master data analysis and visualization techniques.,Data Science,Intermediate,4 weeks,2,Undergraduate,Female,Maharashtra,28,Open Source Contributions,https://www.coursera.org/specializations/ethical-hacking/,4.894275017596514,12,"The instructor was excellent, very clear explanations."
Introduction to Cloud Computing - 14,Learn the basics of programming and debugging.,Web Development,Beginner,2 weeks,6,10th,Female,Tamil Nadu,23,Open Source Contributions,https://www.coursera.org/learn/cloud-computing-basics/,2.863467302961376,6,Poor quality videos and unclear explanations.
SQL for Data Analysis - 15,Master data analysis and visualization techniques.,Web Development,Advanced,4 weeks,9,12th,Female,Maharashtra,26,Gaming,https://www.coursera.org/learn/sql-for-data-science/,1.9500457698010032,8,Not suitable for advanced learners.
Introduction to Cloud Computing - 16,Learn the basics of programming and debugging.,AI & ML,Intermediate,4 weeks,6,10th,Female,Delhi,25,Tech Meetups,https://www.coursera.org/learn/cloud-computing-basics/,3.7437415246680708,16,Disappointed with the lack of practical examples.
Introduction to Cloud Computing - 17,Master data analysis and visualization techniques.,Cybersecurity,Intermediate,6 weeks,9,12th,Male,Maharashtra,23,Watching Tutorials,https://www.coursera.org/learn/cloud-computing-basics/,3.7689930576106656,18,"Not engaging, could have been more interactive."
Advanced Java Programming - 18,Learn the basics of programming and debugging.,Cybersecurity,Advanced,4 weeks,2,Undergraduate,Female,Maharashtra,24,Watching Tutorials,https://www.udemy.com/course/advanced-java/,1.4532356791378163,16,Poor quality videos and unclear explanations.
Data Visualization with Tableau - 19,Master data analysis and visualization techniques.,AI & ML,Intermediate,6 weeks,4,Postgraduate,Female,Karnataka,26,Problem Solving,https://www.udemy.com/course/data-visualization-tableau/,1.9004779368670794,24,"Not engaging, could have been more interactive."
Kubernetes Basics - 20,Learn the basics of programming and debugging.,Programming,Intermediate,6 weeks,8,Postgraduate,Female,Maharashtra,23,Reading Tech Blogs,https://www.udemy.com/course/kubernetes-basics/,3.3710298115097843,12,"Not engaging, could have been more interactive."
Python Programming Basics - 21,Master data analysis and visualization techniques.,Cybersecurity,Advanced,2 weeks,1,12th,Female,Maharashtra,19,Networking,https://www.udemy.com/course/python-programming/,3.2220391219980637,8,Too basic and not enough depth.
AI for Everyone - 22,Learn the basics of programming and debugging.,Data Science,Advanced,6 weeks,2,10th,Male,Maharashtra,15,Building Projects,https://www.coursera.org/learn/ai-for-everyone/,4.314014284310661,12,The pace of the course was too slow.
Docker for Developers - 23,Master data analysis and visualization techniques.,Web Development,Advanced,6 weeks,8,Postgraduate,Female,Maharashtra,25,Gaming,https://www.udemy.com/course/docker-for-developers/,1.686245830973131,12,The pace of the course was too slow.
Deep Learning Fundamentals - 24,Learn the basics of programming and debugging.,Cybersecurity,Intermediate,4 weeks,9,12th,Male,Maharashtra,20,Watching Tutorials,https://www.udemy.com/course/deep-learning-fundamentals/,2.6299399268361867,16,The pace of the course was too slow.
Python Programming Basics - 25,Master data analysis and visualization techniques.,Data Science,Advanced,4 weeks,4,10th,Male,Maharashtra,15,Open Source Contributions,https://www.udemy.com/course/python-programming/,4.293915604636612,12,"Not engaging, could have been more interactive."
Deep Learning Fundamentals - 26,Learn the basics of programming and debugging.,AI & ML,Intermediate,4 weeks,8,Undergraduate,Female,Maharashtra,25,Open Source Contributions,https://www.udemy.com/course/deep-learning-fundamentals/,1.0362001738649784,16,Too basic and not enough depth.
Web Development Bootcamp - 27,Master data analysis and visualization techniques.,Cybersecurity,Beginner,6 weeks,1,Postgraduate,Female,Maharashtra,15,Networking,https://www.udemy.com/course/web-development-bootcamp/,2.8495755676303878,18,The course lacked advanced content as promised.
Deep Learning Fundamentals - 28,Learn the basics of programming and debugging.,Web Development,Beginner,6 weeks,2,12th,Female,Maharashtra,21,Tech Meetups,https://www.udemy.com/course/deep-learning-fundamentals/,3.558142025251095,12,Too basic and not enough depth.
Introduction to Cloud Computing - 29,Master data analysis and visualization techniques.,AI & ML,Beginner,4 weeks,2,Undergraduate,Female,Delhi,24,Networking,https://www.coursera.org/learn/cloud-computing-basics/,1.2619336086314275,12,The pace of the course was too slow.
Machine Learning with Python - 30,Learn the basics of programming and debugging.,Data Science,Intermediate,2 weeks,8,Postgraduate,Female,Maharashtra,22,Open Source Contributions,https://www.udemy.com/course/machine-learning-python/,4.931866010912406,8,Exceptional content and well-explained.
AI for Everyone - 31,Master data analysis and visualization techniques.,Programming,Intermediate,4 weeks,4,10th,Male,Karnataka,27,Learning New Frameworks,https://www.coursera.org/learn/ai-for-everyone/,3.3417400456615,16,The course lacked advanced content as promised.
Cybersecurity Essentials - 32,Learn the basics of programming and debugging.,Data Science,Intermediate,6 weeks,8,Undergraduate,Male,Karnataka,23,Networking,https://www.coursera.org/specializations/cybersecurity/,4.9124122167423785,12,"The instructor was excellent, very clear explanations."
React.js for Beginners - 33,Master data analysis and visualization techniques.,Web Development,Advanced,4 weeks,7,Postgraduate,Male,Maharashtra,26,Coding,https://www.udemy.com/course/react-js-beginners/,2.9546118140821864,16,Poor quality videos and unclear explanations.
SQL for Data Analysis - 34,Learn the basics of programming and debugging.,Web Development,Intermediate,6 weeks,1,12th,Male,Maharashtra,18,Problem Solving,https://www.coursera.org/learn/sql-for-data-science/,3.086255131761576,12,The course was not well-organized.
Cybersecurity Essentials - 35,Master data analysis and visualization techniques.,Web Development,Advanced,6 weeks,5,10th,Male,Gujarat,18,Watching Tutorials,https://www.coursera.org/specializations/cybersecurity/,2.4392141236584193,24,Not suitable for advanced learners.
React.js for Beginners - 36,Learn the basics of programming and debugging.,AI & ML,Intermediate,2 weeks,6,Undergraduate,Female,Maharashtra,22,Watching Tutorials,https://www.udemy.com/course/react-js-beginners/,1.8727799475275084,8,The course lacked advanced content as promised.
Deep Learning Fundamentals - 37,Master data analysis and visualization techniques.,Web Development,Beginner,6 weeks,9,10th,Female,Maharashtra,26,Gaming,https://www.udemy.com/course/deep-learning-fundamentals/,2.3819149560945676,18,The course was not well-organized.
Cybersecurity Essentials - 38,Learn the basics of programming and debugging.,Programming,Intermediate,6 weeks,3,10th,Female,Karnataka,25,Networking,https://www.coursera.org/specializations/cybersecurity/,2.0243447754160173,24,Too basic and not enough depth.
Cybersecurity Essentials - 39,Master data analysis and visualization techniques.,Cybersecurity,Beginner,2 weeks,8,12th,Male,Maharashtra,17,Open Source Contributions,https://www.coursera.org/specializations/cybersecurity/,2.721288948732208,8,Disappointed with the lack of practical examples.
AI for Everyone - 40,Learn the basics of programming and debugging.,Data Science,Beginner,2 weeks,1,12th,Male,Maharashtra,15,Problem Solving,https://www.coursera.org/learn/ai-for-everyone/,4.609776875698769,8,The practical exercises made learning easy.
Introduction to Data Science - 41,Master data analysis and visualization techniques.,Data Science,Intermediate,6 weeks,7,12th,Male,Maharashtra,20,Coding,https://www.coursera.org/learn/intro-to-data-science/,4.655332480525863,12,The best course for learning technical skills!
Introduction to Cloud Computing - 42,Learn the basics of programming and debugging.,Data Science,Advanced,6 weeks,6,Undergraduate,Female,Maharashtra,15,Tech Meetups,https://www.coursera.org/learn/cloud-computing-basics/,4.063817256949491,24,Poor quality videos and unclear explanations.
Advanced Java Programming - 43,Master data analysis and visualization techniques.,AI & ML,Beginner,4 weeks,6,12th,Female,Maharashtra,22,Open Source Contributions,https://www.udemy.com/course/advanced-java/,3.2902180991221086,12,Disappointed with the lack of practical examples.
Docker for Developers - 44,Learn the basics of programming and debugging.,Programming,Advanced,2 weeks,1,12th,Female,Gujarat,16,Reading Tech Blogs,https://www.udemy.com/course/docker-for-developers/,2.0928784509000646,6,The course was not well-organized.
AI for Everyone - 45,Master data analysis and visualization techniques.,Cybersecurity,Intermediate,6 weeks,8,Postgraduate,Male,Maharashtra,26,Problem Solving,https://www.coursera.org/learn/ai-for-everyone/,1.8890297524302775,18,The content was outdated and not useful.
Ethical Hacking Workshop - 46,Learn the basics of programming and debugging.,Web Development,Beginner,6 weeks,2,Undergraduate,Male,Rajasthan,19,Networking,https://www.coursera.org/specializations/ethical-hacking/,1.0819981061605786,18,The course was not well-organized.
Deep Learning Fundamentals - 47,Master data analysis and visualization techniques.,Web Development,Intermediate,6 weeks,6,Postgraduate,Male,Maharashtra,15,Reading Tech Blogs,https://www.udemy.com/course/deep-learning-fundamentals/,3.583583849253018,12,The exercises were not challenging enough.
Introduction to Data Science - 48,Learn the basics of programming and debugging.,Cybersecurity,Advanced,4 weeks,8,Postgraduate,Male,Gujarat,17,Tech Meetups,https://www.coursera.org/learn/intro-to-data-science/,2.8934497581445555,12,The course lacked advanced content as promised.
Deep Learning Fundamentals - 49,Master data analysis and visualization techniques.,Data Science,Beginner,2 weeks,7,Undergraduate,Male,Maharashtra,30,Watching Tutorials,https://www.udemy.com/course/deep-learning-fundamentals/,4.3759302963288205,8,Not suitable for advanced learners.
Web Development Bootcamp - 50,Learn the basics of programming and debugging.,Cybersecurity,Beginner,4 weeks,7,12th,Female,Maharashtra,24,Gaming,https://www.udemy.com/course/web-development-bootcamp/,3.547833668482311,8,"Not engaging, could have been more interactive."
React.js for Beginners - 51,Master data analysis and visualization techniques.,AI & ML,Advanced,2 weeks,7,Postgraduate,Female,Tamil Nadu,22,Watching Tutorials,https://www.udemy.com/course/react-js-beginners/,2.8740590894133446,4,Not suitable for advanced learners.
Machine Learning with Python - 52,Learn the basics of programming and debugging.,Cybersecurity,Intermediate,2 weeks,2,Undergraduate,Male,Maharashtra,26,Open Source Contributions,https://www.udemy.com/course/machine-learning-python/,2.294948929081469,8,Not suitable for advanced learners.
React.js for Beginners - 53,Master data analysis and visualization techniques.,AI & ML,Intermediate,4 weeks,4,10th,Female,Delhi,20,Gaming,https://www.udemy.com/course/react-js-beginners/,1.4951611012169368,8,The pace of the course was too slow.
Kubernetes Basics - 54,Learn the basics of programming and debugging.,Programming,Advanced,4 weeks,3,Undergraduate,Male,Maharashtra,26,Networking,https://www.udemy.com/course/kubernetes-basics/,1.8985290971792392,8,The course lacked advanced content as promised.
React.js for Beginners - 55,Master data analysis and visualization techniques.,AI & ML,Intermediate,4 weeks,2,12th,Male,Maharashtra,15,Gaming,https://www.udemy.com/course/react-js-beginners/,2.9430510290992373,8,The content was outdated and not useful.
Deep Learning Fundamentals - 56,Learn the basics of programming and debugging.,Cybersecurity,Advanced,4 weeks,1,12th,Male,Delhi,26,Networking,https://www.udemy.com/course/deep-learning-fundamentals/,2.861074015976128,12,Disappointed with the lack of practical examples.
Python Programming Basics - 57,Master data analysis and visualization techniques.,Programming,Intermediate,4 weeks,3,10th,Male,Gujarat,16,Building Projects,https://www.udemy.com/course/python-programming/,1.4435838114497557,8,The course was not well-organized.
Deep Learning Fundamentals - 58,Learn the basics of programming and debugging.,Cybersecurity,Advanced,2 weeks,4,12th,Female,Karnataka,19,Watching Tutorials,https://www.udemy.com/course/deep-learning-fundamentals/,3.7583222514554206,8,Not suitable for advanced learners.
Python Programming Basics - 59,Master data analysis and visualization techniques.,Cybersecurity,Intermediate,4 weeks,1,Undergraduate,Female,Tamil Nadu,15,Building Projects,https://www.udemy.com/course/python-programming/,3.8391085548788255,12,Disappointed with the lack of practical examples.
React.js for Beginners - 60,Learn the basics of programming and debugging.,Programming,Beginner,2 weeks,9,10th,Male,Uttar Pradesh,22,Problem Solving,https://www.udemy.com/course/react-js-beginners/,2.543642715631405,6,Too basic and not enough depth.
Web Development Bootcamp - 61,Master data analysis and visualization techniques.,AI & ML,Intermediate,6 weeks,7,Undergraduate,Female,Maharashtra,16,Open Source Contributions,https://www.udemy.com/course/web-development-bootcamp/,2.710707456849428,24,Disappointed with the lack of practical examples.
Machine Learning with Python - 62,Learn the basics of programming and debugging.,Data Science,Beginner,4 weeks,1,10th,Male,Maharashtra,24,Watching Tutorials,https://www.udemy.com/course/machine-learning-python/,4.972832092779727,12,The best course for learning technical skills!
SQL for Data Analysis - 63,Master data analysis and visualization techniques.,Programming,Intermediate,4 weeks,2,10th,Male,Maharashtra,21,Building Projects,https://www.coursera.org/learn/sql-for-data-science/,3.847454773740527,12,Not suitable for advanced learners.
React.js for Beginners - 64,Learn the basics of programming and debugging.,Data Science,Advanced,2 weeks,5,Postgraduate,Female,Tamil Nadu,19,Problem Solving,https://www.udemy.com/course/react-js-beginners/,4.791106607541133,8,Loved the hands-on projects and real-world examples.
Data Visualization with Tableau - 65,Master data analysis and visualization techniques.,Web Development,Advanced,4 weeks,3,Postgraduate,Female,Gujarat,17,Open Source Contributions,https://www.udemy.com/course/data-visualization-tableau/,3.208896816126173,16,The course was not well-organized.
Cybersecurity Essentials - 66,Learn the basics of programming and debugging.,Data Science,Intermediate,4 weeks,2,Undergraduate,Male,Maharashtra,26,Reading Tech Blogs,https://www.coursera.org/specializations/cybersecurity/,4.122306084394094,12,"Not engaging, could have been more interactive."
Data Visualization with Tableau - 67,Master data analysis and visualization techniques.,Cybersecurity,Beginner,6 weeks,6,12th,Female,Karnataka,20,Learning New Frameworks,https://www.udemy.com/course/data-visualization-tableau/,1.811780699944903,24,"Not engaging, could have been more interactive."
Introduction to Cloud Computing - 68,Learn the basics of programming and debugging.,Cybersecurity,Intermediate,4 weeks,3,12th,Male,Delhi,24,Problem Solving,https://www.coursera.org/learn/cloud-computing-basics/,3.861247370750369,8,The course lacked advanced content as promised.
Advanced Java Programming - 69,Master data analysis and visualization techniques.,Cybersecurity,Beginner,6 weeks,8,12th,Female,Tamil Nadu,30,Networking,https://www.udemy.com/course/advanced-java/,3.397097755549428,24,"Not engaging, could have been more interactive."
SQL for Data Analysis - 70,Learn the basics of programming and debugging.,Cybersecurity,Beginner,6 weeks,2,Undergraduate,Female,Maharashtra,15,Learning New Frameworks,https://www.coursera.org/learn/sql-for-data-science/,1.6180308049465926,18,The pace of the course was too slow.
Introduction to Data Science - 71,Master data analysis and visualization techniques.,Data Science,Advanced,6 weeks,4,Postgraduate,Female,Maharashtra,20,Reading Tech Blogs,https://www.coursera.org/learn/intro-to-data-science/,4.050529847708501,12,Poor quality videos and unclear explanations.
Docker for Developers - 72,Learn the basics of programming and debugging.,Data Science,Intermediate,2 weeks,6,Undergraduate,Male,Maharashtra,25,Gaming,https://www.udemy.com/course/docker-for-developers/,4.212454436234882,4,The course was not well-organized.
Machine Learning with Python - 73,Master data analysis and visualization techniques.,Web Development,Advanced,2 weeks,2,10th,Female,Maharashtra,29,Gaming,https://www.udemy.com/course/machine-learning-python/,3.4305379223631687,4,The pace of the course was too slow.
Data Visualization with Tableau - 74,Learn the basics of programming and debugging.,Cybersecurity,Advanced,2 weeks,2,Postgraduate,Female,Delhi,22,Problem Solving,https://www.udemy.com/course/data-visualization-tableau/,3.644053212926002,4,Not suitable for advanced learners.
Introduction to Data Science - 75,Master data analysis and visualization techniques.,Programming,Beginner,6 weeks,4,Undergraduate,Female,Delhi,15,Networking,https://www.coursera.org/learn/intro-to-data-science/,2.606186374137587,18,The content was outdated and not useful.
Deep Learning Fundamentals - 76,Learn the basics of programming and debugging.,AI & ML,Beginner,6 weeks,9,10th,Male,Maharashtra,21,Reading Tech Blogs,https://www.udemy.com/course/deep-learning-fundamentals/,2.299693361485484,12,The course was not well-organized.
Introduction to Cloud Computing - 77,Master data analysis and visualization techniques.,Cybersecurity,Advanced,4 weeks,6,Postgraduate,Female,Maharashtra,29,Learning New Frameworks,https://www.coursera.org/learn/cloud-computing-basics/,1.6851729704074416,12,The pace of the course was too slow.
Kubernetes Basics - 78,Learn the basics of programming and debugging.,Programming,Advanced,6 weeks,1,12th,Female,Maharashtra,25,Coding,https://www.udemy.com/course/kubernetes-basics/,3.2596548280867315,24,The pace of the course was too slow.
Advanced Java Programming - 79,Master data analysis and visualization techniques.,AI & ML,Beginner,6 weeks,6,Postgraduate,Male,Maharashtra,27,Coding,https://www.udemy.com/course/advanced-java/,2.6654077262381692,18,Too basic and not enough depth.
Introduction to Data Science - 80,Learn the basics of programming and debugging.,Web Development,Beginner,4 weeks,2,Undergraduate,Female,Maharashtra,25,Tech Meetups,https://www.coursera.org/learn/intro-to-data-science/,2.0717938894970445,8,Too basic and not enough depth.
Introduction to Data Science - 81,Master data analysis and visualization techniques.,AI & ML,Beginner,2 weeks,9,10th,Female,Maharashtra,15,Gaming,https://www.coursera.org/learn/intro-to-data-science/,3.7802737450958928,6,The content was outdated and not useful.
AI for Everyone - 82,Learn the basics of programming and debugging.,Programming,Intermediate,2 weeks,4,10th,Female,Tamil Nadu,16,Reading Tech Blogs,https://www.coursera.org/learn/ai-for-everyone/,2.906755007544802,8,Too basic and not enough depth.
Advanced Java Programming - 83,Master data analysis and visualization techniques.,AI & ML,Beginner,2 weeks,1,Undergraduate,Female,Karnataka,18,Networking,https://www.udemy.com/course/advanced-java/,1.7536055986804837,6,"Not engaging, could have been more interactive."
SQL for Data Analysis - 84,Learn the basics of programming and debugging.,Data Science,Beginner,4 weeks,8,12th,Male,Delhi,15,Coding,https://www.coursera.org/learn/sql-for-data-science/,4.08049628042192,8,"Not engaging, could have been more interactive."
Cybersecurity Essentials - 85,Master data analysis and visualization techniques.,Web Development,Beginner,2 weeks,4,Postgraduate,Male,Maharashtra,21,Learning New Frameworks,https://www.coursera.org/specializations/cybersecurity/,1.6293326842850424,4,The pace of the course was too slow.
Ethical Hacking Workshop - 86,Learn the basics of programming and debugging.,AI & ML,Intermediate,4 weeks,8,10th,Male,Maharashtra,15,Watching Tutorials,https://www.coursera.org/specializations/ethical-hacking/,1.078665453311849,8,Poor quality videos and unclear explanations.
Data Visualization with Tableau - 87,Master data analysis and visualization techniques.,Data Science,Advanced,2 weeks,2,12th,Female,Maharashtra,15,Building Projects,https://www.udemy.com/course/data-visualization-tableau/,4.990271035678681,8,The practical exercises made learning easy.
Python Programming Basics - 88,Learn the basics of programming and debugging.,Web Development,Beginner,6 weeks,9,Postgraduate,Male,Maharashtra,16,Watching Tutorials,https://www.udemy.com/course/python-programming/,3.973463018029091,18,Disappointed with the lack of practical examples.
Python Programming Basics - 89,Master data analysis and visualization techniques.,Web Development,Intermediate,2 weeks,2,10th,Female,Maharashtra,22,Networking,https://www.udemy.com/course/python-programming/,3.997039079880942,8,The course lacked advanced content as promised.
React.js for Beginners - 90,Learn the basics of programming and debugging.,Data Science,Beginner,6 weeks,4,12th,Male,Delhi,30,Tech Meetups,https://www.udemy.com/course/react-js-beginners/,4.315427187829027,18,Not suitable for advanced learners.
Advanced Java Programming - 91,Master data analysis and visualization techniques.,Programming,Intermediate,4 weeks,6,10th,Female,Tamil Nadu,18,Networking,https://www.udemy.com/course/advanced-java/,2.2626059780391445,12,The exercises were not challenging enough.
Machine Learning with Python - 92,Learn the basics of programming and debugging.,Cybersecurity,Beginner,4 weeks,8,10th,Male,Maharashtra,29,Open Source Contributions,https://www.udemy.com/course/machine-learning-python/,3.2943242483502253,12,Not suitable for advanced learners.
Ethical Hacking Workshop - 93,Master data analysis and visualization techniques.,Cybersecurity,Advanced,4 weeks,5,10th,Male,Karnataka,22,Learning New Frameworks,https://www.coursera.org/specializations/ethical-hacking/,1.6845730309800726,16,The content was outdated and not useful.
